index;name;serving_size;calories;total_fat;protein;carbohydrate;sugars;food_item;food_detail;detail1;food_key
0;Cornstarch;100;381;0.1;0.26;91.27;0.00;Cornstarch;;;Cornstarch
1;Nuts, pecans;100;691;72;9.17;13.86;3.97;Nuts;; pecans;Nuts pecans
2;Eggplant, raw;100;25;0.2;0.98;5.88;3.53;Eggplant;; raw;Eggplant raw
3;Teff, uncooked;100;367;2.4;13.30;73.13;1.84;Teff;; uncooked;Teff uncooked
4;Sherbet, orange;100;144;2;1.10;30.40;24.32;Sherbet;; orange;Sherbet orange
5;Cauliflower, raw;100;25;0.3;1.92;4.97;1.91;Cauliflower;; raw;Cauliflower raw
6;Taro leaves, raw;100;42;0.7;4.98;6.70;3.01;Taro leaves;; raw;Taro leaves raw
7;Lamb, raw, ground;100;282;23;16.56;0.00;0.00;Lamb; ground; raw;Lamb raw
8;Cheese, camembert;100;300;24;19.80;0.46;0.46;Cheese;; camembert;Cheese camembert
9;Vegetarian fillets;100;290;18;23.00;9.00;0.80;Vegetarian fillets;;;Vegetarian fillets
10;PACE, Picante Sauce;100;25;0;0.00;6.25;6.25;PACE;; Picante Sauce;PACE Picante Sauce
11;Goji berries, dried;100;349;0.4;14.26;77.06;45.61;Goji berries;; dried;Goji berries dried
12;Mango nectar, canned;100;51;0.1;0.11;13.12;12.45;Mango nectar;; canned;Mango nectar canned
13;Crackers, rusk toast;100;407;7.2;13.50;72.30;0;Crackers;; rusk toast;Crackers rusk toast
14;Chicken, boiled, feet;100;215;15;19.40;0.20;0.00;Chicken; feet; boiled;Chicken boiled
15;Quail, raw, meat only;100;134;4.5;21.76;0.00;0;Quail; meat only; raw;Quail raw
16;Pie, lemon, fried pies;100;316;16;3.00;42.60;0;Pie; fried pies; lemon;Pie lemon
17;Peppers, raw, jalapeno;100;29;0.4;0.91;6.50;4.12;Peppers; jalapeno; raw;Peppers raw
18;Winged bean tuber, raw;100;148;0.9;11.60;28.10;0;Winged bean tuber;; raw;Winged bean tuber raw
19;Salami, turkey, cooked;100;172;9.2;19.20;1.55;1.12;Salami; cooked; turkey;Salami turkey
20;Grapes, raw, muscadine;100;57;0.5;0.81;13.93;0;Grapes; muscadine; raw;Grapes raw
21;Nuts, raw, ginkgo nuts;100;182;1.7;4.32;37.60;0;Nuts; ginkgo nuts; raw;Nuts raw
22;Spices, ground, savory;100;272;5.9;6.73;68.73;0;Spices; savory; ground;Spices ground
23;Candies, sesame crunch;100;516;33;11.60;50.30;31.17;Candies;; sesame crunch;Candies sesame crunch
24;Cheese, low fat, cream;100;201;15;7.85;8.13;5.82;Cheese; cream; low fat;Cheese low fat
25;PACE, Green Taco Sauce;100;25;0;0.00;6.25;6.25;PACE;; Green Taco Sauce;PACE Green Taco Sauce
26;Syrup, Canadian, maple;100;270;0;0.00;67.38;59.92;Syrup; maple; Canadian;Syrup Canadian
27;Ostrich, raw, top loin;100;119;3;21.67;0.00;0.00;Ostrich; top loin; raw;Ostrich raw
28;Chewing gum, sugarless;100;268;0.4;0.00;94.80;0.00;Chewing gum;; sugarless;Chewing gum sugarless
29;Nuts, dried, pine nuts;100;673;68;13.69;13.08;3.59;Nuts; pine nuts; dried;Nuts dried
30;Pasta, unenriched, dry;100;371;1.5;13.04;74.67;2.67;Pasta; dry; unenriched;Pasta unenriched
31;McDONALD'S, Side Salad;100;20;0.2;1.03;4.30;2.24;McDONALD'S;; Side Salad;McDONALD'S Side Salad
32;Cookies, Marie biscuit;100;406;11;7.05;70.54;21.16;Cookies;; Marie biscuit;Cookies Marie biscuit
33;Broccoli, raw, chinese;100;30;0.8;1.20;4.67;0.88;Broccoli; chinese; raw;Broccoli raw
34;McDONALD'S, Hash Brown;100;271;16;2.48;28.56;0.54;McDONALD'S;; Hash Brown;McDONALD'S Hash Brown
35;Agave, raw (Southwest);100;68;0.2;0.52;16.23;2.58;Agave;; raw (Southwest);Agave raw (Southwest)
36;Emu, raw, outside drum;100;103;0.5;23.08;0.00;0.00;Emu; outside drum; raw;Emu raw
37;Nuts, dried, beechnuts;100;576;50;6.20;33.50;0;Nuts; beechnuts; dried;Nuts dried
38;Currants, dried, zante;100;283;0.3;4.08;74.08;67.28;Currants; zante; dried;Currants dried
39;Lentils, raw, sprouted;100;106;0.6;8.96;22.14;0;Lentils; sprouted; raw;Lentils raw
40;Gravy, mix, dry, onion;100;322;3;9.00;67.64;0;Gravy; dry, onion; mix;Gravy mix
41;Pie, fruit, fried pies;100;316;16;3.00;42.60;21.40;Pie; fried pies; fruit;Pie fruit
42;Snacks, cakes, popcorn;100;384;3.1;9.70;80.10;0.72;Snacks; popcorn; cakes;Snacks cakes
43;Snack, Mixed Berry Bar;100;383;11;13.16;58.84;26.32;Snack;; Mixed Berry Bar;Snack Mixed Berry Bar
44;Fish, raw, sheepshead;100;108;2.4;20.21;0.00;0;Fish; sheepshead; raw;Fish raw
45;Babyfood, pear, juice;100;47;0;0.00;11.86;7.28;Babyfood; juice; pear;Babyfood pear
46;Brussels sprouts, raw;100;43;0.3;3.38;8.95;2.20;Brussels sprouts;; raw;Brussels sprouts raw
47;Broccoli raab, cooked;100;33;0.5;3.83;3.12;0.62;Broccoli raab;; cooked;Broccoli raab cooked
48;Butter oil, anhydrous;100;876;99;0.28;0.00;0.00;Butter oil;; anhydrous;Butter oil anhydrous
49;Chicory, raw, witloof;100;17;0.1;0.90;4.00;0;Chicory; witloof; raw;Chicory raw
50;KEEBLER, Waffle Cones;100;424;5.3;6.50;87.70;31.60;KEEBLER;; Waffle Cones;KEEBLER Waffle Cones
51;KEEBLER, Waffle Bowls;100;424;5.3;6.50;87.70;31.60;KEEBLER;; Waffle Bowls;KEEBLER Waffle Bowls
52;Broccoli, raw, leaves;100;28;0.4;2.98;5.06;1.48;Broccoli; leaves; raw;Broccoli raw
53;Durian, raw or frozen;100;147;5.3;1.47;27.09;0;Durian;; raw or frozen;Durian raw or frozen
54;Tomatoes, raw, orange;100;16;0.2;1.16;3.18;0;Tomatoes; orange; raw;Tomatoes raw
55;Tomatoes, raw, yellow;100;15;0.3;0.98;2.98;0;Tomatoes; yellow; raw;Tomatoes raw
56;Egg custards, dry mix;100;410;6.4;6.90;82.80;0;Egg custards;; dry mix;Egg custards dry mix
57;Peanut flour, low fat;100;428;22;33.80;31.27;0;Peanut flour;; low fat;Peanut flour low fat
58;Fish, smoked, haddock;100;116;1;25.23;0.00;0.00;Fish; haddock; smoked;Fish smoked
59;DENNY'S, french fries;100;282;14;3.41;35.20;0.85;DENNY'S;; french fries;DENNY'S french fries
60;Ground turkey, cooked;100;203;10;27.37;0.00;0.00;Ground turkey;; cooked;Ground turkey cooked
61;MURRAY, Vanilla Wafer;100;461;17;4.00;72.90;31.50;MURRAY;; Vanilla Wafer;MURRAY Vanilla Wafer
62;WENDY'S, french fries;100;301;14;3.73;39.73;0.40;WENDY'S;; french fries;WENDY'S french fries
63;Bread, toasted, wheat;100;313;4.3;12.96;55.77;6.42;Bread; wheat; toasted;Bread toasted
64;Danish pastry, cheese;100;374;22;8.00;37.20;6.95;Danish pastry;; cheese;Danish pastry cheese
65;Nuts, glazed, walnuts;100;500;36;8.28;47.59;32.14;Nuts; walnuts; glazed;Nuts glazed
66;Spices, garlic powder;100;331;0.7;16.55;72.73;2.43;Spices;; garlic powder;Spices garlic powder
67;Oil, soybean lecithin;100;763;100;0.00;0.00;0.00;Oil;; soybean lecithin;Oil soybean lecithin
68;Egg, fresh, raw, yolk;100;322;27;15.86;3.59;0.56;Egg; raw, yolk; fresh;Egg fresh
69;Fireweed, raw, leaves;100;103;2.8;4.71;19.22;0;Fireweed; leaves; raw;Fireweed raw
70;Beef, pastrami, cured;100;147;5.8;21.80;0.36;0.10;Beef; cured; pastrami;Beef pastrami
71;Frankfurter, meatless;100;233;14;19.61;7.70;0.00;Frankfurter;; meatless;Frankfurter meatless
72;Emu, raw, flat fillet;100;102;0.7;22.25;0.00;0.00;Emu; flat fillet; raw;Emu raw
73;Emu, raw, inside drum;100;108;1.5;22.22;0.00;0.00;Emu; inside drum; raw;Emu raw
74;Ice creams, chocolate;100;216;11;3.80;28.20;25.36;Ice creams;; chocolate;Ice creams chocolate
75;Snacks, potato sticks;100;522;34;6.70;53.30;0.22;Snacks;; potato sticks;Snacks potato sticks
76;USDA Commodity, salsa;100;36;0.2;1.50;7.00;0;USDA Commodity;; salsa;USDA Commodity salsa
77;Figs, uncooked, dried;100;249;0.9;3.30;63.87;47.92;Figs; dried; uncooked;Figs uncooked
78;Game meat, raw, horse;100;133;4.6;21.39;0.00;0;Game meat; horse; raw;Game meat raw
79;Syrup, fruit flavored;100;261;0;0.00;65.10;65.00;Syrup;; fruit flavored;Syrup fruit flavored
80;Broccoli, raw, stalks;100;28;0.4;2.98;5.24;0;Broccoli; stalks; raw;Broccoli raw
81;Cream, cultured, sour;100;198;19;2.44;4.63;3.41;Cream; sour; cultured;Cream cultured
82;Gravy, canned, au jus;100;16;0.2;1.20;2.50;0;Gravy; au jus; canned;Gravy canned
83;McDONALD'S, Hamburger;100;264;10;12.92;30.28;6.03;McDONALD'S;; Hamburger;McDONALD'S Hamburger
84;Cheese, port de salut;100;352;28;23.78;0.57;0.57;Cheese;; port de salut;Cheese port de salut
85;SILK Original Creamer;100;100;6.7;0.00;6.67;0.00;SILK Original Creamer;;;SILK Original Creamer
86;SILK Hazelnut Creamer;100;133;6.7;0.00;20.00;20.00;SILK Hazelnut Creamer;;;SILK Hazelnut Creamer
87;Soup, mix, dry, onion;100;293;0.3;7.48;65.07;4.65;Soup; dry, onion; mix;Soup mix
88;Mushrooms, raw, enoki;100;37;0.3;2.66;7.81;0.22;Mushrooms; enoki; raw;Mushrooms raw
89;Bacon and beef sticks;100;517;44;29.10;0.80;0.80;Bacon and beef sticks;;;Bacon and beef sticks
90;Salami, pork, Italian;100;425;37;21.70;1.20;1.20;Salami; Italian; pork;Salami pork
91;Crackers, whole-wheat;100;427;14;10.58;69.55;1.19;Crackers;; whole-wheat;Crackers whole-wheat
92;Peanuts, raw, spanish;100;570;50;26.15;15.83;0;Peanuts; spanish; raw;Peanuts raw
93;Hominy, white, canned;100;72;0.9;1.48;14.26;1.82;Hominy; canned; white;Hominy white
94;Game meat, raw, moose;100;102;0.7;22.24;0.00;0;Game meat; moose; raw;Game meat raw
95;Pears, red anjou, raw;100;62;0.1;0.33;14.94;9.54;Pears; raw; red anjou;Pears red anjou
96;Horseradish, prepared;100;48;0.7;1.18;11.29;7.99;Horseradish;; prepared;Horseradish prepared
97;Fish, raw, butterfish;100;146;8;17.28;0.00;0;Fish; butterfish; raw;Fish raw
98;Lebanon bologna, beef;100;172;10;19.03;0.44;0.00;Lebanon bologna;; beef;Lebanon bologna beef
99;Ham and cheese spread;100;245;19;16.18;2.28;0;Ham and cheese spread;;;Ham and cheese spread
100;TACO BELL, Taco Salad;100;170;9.2;6.69;15.10;0;TACO BELL;; Taco Salad;TACO BELL Taco Salad
101;Sauce, worcestershire;100;78;0;0.00;19.46;10.03;Sauce;; worcestershire;Sauce worcestershire
102;Candies, marshmallows;100;318;0.2;1.80;81.30;57.56;Candies;; marshmallows;Candies marshmallows
103;Hummus, home prepared;100;177;8.6;4.86;20.12;0.27;Hummus;; home prepared;Hummus home prepared
104;Horned melon (Kiwano);100;44;1.3;1.78;7.56;0;Horned melon (Kiwano);;;Horned melon (Kiwano)
105;Ice cream sundae cone;100;254;14;3.00;28.89;21.26;Ice cream sundae cone;;;Ice cream sundae cone
106;Peppers, raw, serrano;100;32;0.4;1.74;6.70;3.83;Peppers; serrano; raw;Peppers raw
107;Cabbage, cooked, napa;100;12;0.2;1.10;2.23;0;Cabbage; napa; cooked;Cabbage cooked
108;Peppers, dried, ancho;100;281;8.2;11.86;51.42;0;Peppers; ancho; dried;Peppers dried
109;Parsley, freeze-dried;100;271;5.2;31.30;42.38;0;Parsley;; freeze-dried;Parsley freeze-dried
110;Spices, black, pepper;100;251;3.3;10.39;63.95;0.64;Spices; pepper; black;Spices black
111;Spices, white, pepper;100;296;2.1;10.40;68.61;0;Spices; pepper; white;Spices white
112;Yambean (jicama), raw;100;38;0.1;0.72;8.82;1.80;Yambean (jicama);; raw;Yambean (jicama) raw
113;Nuts, dried, pilinuts;100;719;80;10.80;3.98;0;Nuts; pilinuts; dried;Nuts dried
114;Kiwifruit, raw, green;100;61;0.5;1.14;14.66;8.99;Kiwifruit; green; raw;Kiwifruit raw
115;Drumstick leaves, raw;100;64;1.4;9.40;8.28;0;Drumstick leaves;; raw;Drumstick leaves raw
116;Yautia (tannier), raw;100;98;0.4;1.46;23.63;0;Yautia (tannier);; raw;Yautia (tannier) raw
117;Candies, butterscotch;100;391;3.3;0.03;90.40;80.46;Candies;; butterscotch;Candies butterscotch
118;Cucumber, raw, peeled;100;12;0.2;0.59;2.16;1.38;Cucumber; peeled; raw;Cucumber raw
119;Dandelion greens, raw;100;45;0.7;2.70;9.20;0.71;Dandelion greens;; raw;Dandelion greens raw
120;Melons, raw, honeydew;100;36;0.1;0.54;9.09;8.12;Melons; honeydew; raw;Melons raw
121;Potato salad with egg;100;157;9.4;1.96;16.18;4.95;Potato salad with egg;;;Potato salad with egg
122;Mushrooms, raw, white;100;22;0.3;3.09;3.26;1.98;Mushrooms; white; raw;Mushrooms raw
123;Mushrooms, raw, morel;100;31;0.6;3.12;5.10;0.60;Mushrooms; morel; raw;Mushrooms raw
124;Cheese, Mexican blend;100;358;29;23.54;1.75;1.23;Cheese;; Mexican blend;Cheese Mexican blend
125;Oranges, Florida, raw;100;46;0.2;0.70;11.54;9.14;Oranges; raw; Florida;Oranges Florida
126;SILK Vanilla, soymilk;100;41;1.4;2.47;4.12;2.88;SILK Vanilla;; soymilk;SILK Vanilla soymilk
127;Papaya nectar, canned;100;57;0.2;0.17;14.51;13.91;Papaya nectar;; canned;Papaya nectar canned
128;Fiddlehead ferns, raw;100;34;0.4;4.55;5.54;0;Fiddlehead ferns;; raw;Fiddlehead ferns raw
129;SILK Peach soy yogurt;100;94;1.2;2.35;18.82;14.71;SILK Peach soy yogurt;;;SILK Peach soy yogurt
130;SILK Plain soy yogurt;100;66;1.8;2.64;9.69;5.29;SILK Plain soy yogurt;;;SILK Plain soy yogurt
131;PACE, Enchilada Sauce;100;40;0;1.67;8.33;6.67;PACE;; Enchilada Sauce;PACE Enchilada Sauce
132;Yeast extract spread;100;185;0.9;23.88;20.42;1.60;Yeast extract spread;;;Yeast extract spread
133;Tomatoes, raw, green;100;23;0.2;1.20;5.10;4.00;Tomatoes; green; raw;Tomatoes raw
134;Mollusks, raw, snail;100;90;1.4;16.10;2.00;0.00;Mollusks; snail; raw;Mollusks raw
135;Emu, raw, fan fillet;100;103;0.8;22.50;0.00;0.00;Emu; fan fillet; raw;Emu raw
136;Pasta, enriched, dry;100;371;1.5;13.04;74.67;2.67;Pasta; dry; enriched;Pasta enriched
137;Cookies, gingersnaps;100;416;9.8;5.60;76.90;19.92;Cookies;; gingersnaps;Cookies gingersnaps
138;Sour cream, fat free;100;74;0;3.10;15.60;0.39;Sour cream;; fat free;Sour cream fat free
139;MURRAY, Honey Graham;100;445;13;5.90;75.70;22.00;MURRAY;; Honey Graham;MURRAY Honey Graham
140;Frankfurter, chicken;100;223;16;15.51;2.74;2.98;Frankfurter;; chicken;Frankfurter chicken
141;Ham, canned, chopped;100;239;19;16.06;0.26;0.00;Ham; chopped; canned;Ham canned
